0,1,2,3
80848533.0,18429545,15000,2026-02-27T18:22:53Z
80848533.0,16544003,2300,2026-02-27T18:22:53Z
80848528.0,16093810,1000,2026-02-27T18:22:53Z
80848528.0,16544003,1000,2026-02-27T18:22:53Z
80848528.0,15342541,27000,2026-02-27T18:22:53Z
80848506.0,16093810,1000,2026-02-27T18:22:53Z
80848506.0,18429545,14500,2026-02-27T18:22:53Z
80848506.0,16544003,2000,2026-02-27T18:22:53Z
80848494.0,16544003,700,2026-02-27T18:22:53Z
80848494.0,16093810,1000,2026-02-27T18:22:53Z
80848494.0,18429545,4000,2026-02-27T18:22:53Z
80848494.0,16544003,2000,2026-02-27T18:22:53Z
80846624.0,16093810,1000,2026-02-27T17:45:45Z
80846624.0,14158021,54000,2026-02-27T17:45:45Z
80846350.0,18429545,9000,2026-02-27T17:36:40Z
80846350.0,16544002,1200,2026-02-27T17:36:40Z
80846292.0,18429545,2000,2026-02-27T17:31:00Z
80846181.0,18429545,21000,2026-02-27T17:31:00Z
80846181.0,16544003,4200,2026-02-27T17:31:00Z
80846169.0,18429545,21000,2026-02-27T17:31:00Z
80846169.0,16544002,1400,2026-02-27T17:31:00Z
80846169.0,16544003,1400,2026-02-27T17:31:00Z
80846156.0,18429545,21000,2026-02-27T17:31:00Z
80846156.0,16544002,1400,2026-02-27T17:31:00Z
80846156.0,16544003,1700,2026-02-27T17:31:00Z
80846142.0,18429545,21000,2026-02-27T17:31:00Z
80846142.0,16544002,1400,2026-02-27T17:31:00Z
80846142.0,16544003,1700,2026-02-27T17:31:00Z
80846131.0,18429545,9000,2026-02-27T17:31:00Z
80846131.0,16544002,1200,2026-02-27T17:31:00Z
80846108.0,16093810,900,2026-02-27T17:31:00Z
80846108.0,18429545,6000,2026-02-27T17:31:00Z
80846108.0,16544003,1200,2026-02-27T17:31:00Z
80815764.0,18429545,12500,2026-02-27T13:05:49Z
80815764.0,16544003,5600,2026-02-27T13:05:49Z
80789928.0,15140099,300,2026-02-27T03:41:01Z
80789928.0,16538227,98000,2026-02-27T03:41:01Z
80789928.0,16093810,800,2026-02-27T03:41:01Z
80789500.0,15140099,200,2026-02-27T03:38:22Z
80789500.0,16538227,94000,2026-02-27T03:38:22Z
80789500.0,16093810,600,2026-02-27T03:38:22Z
80783310.0,16093810,300,2026-02-27T03:13:49Z
80783310.0,16538227,13500,2026-02-27T03:13:49Z
80783303.0,16093810,300,2026-02-27T03:13:49Z
80783303.0,16544002,1500,2026-02-27T03:13:49Z
80783303.0,16538227,2500,2026-02-27T03:13:49Z
80783282.0,16093810,300,2026-02-27T03:13:49Z
80783282.0,16544002,1500,2026-02-27T03:13:49Z
80783282.0,16538227,2500,2026-02-27T03:13:49Z
80783271.0,16093810,300,2026-02-27T03:13:49Z
80783271.0,16538227,11500,2026-02-27T03:13:49Z
80783257.0,16538227,2500,2026-02-27T03:13:49Z
80783257.0,16093810,300,2026-02-27T03:13:49Z
80783250.0,16093810,300,2026-02-27T03:13:49Z
80783250.0,16538227,11500,2026-02-27T03:13:49Z
80783227.0,16093810,300,2026-02-27T03:13:49Z
80783227.0,16538227,9000,2026-02-27T03:13:49Z
80783216.0,16544003,1300,2026-02-27T03:13:49Z
80783216.0,16093810,300,2026-02-27T03:13:49Z
80783216.0,16538227,12500,2026-02-27T03:13:49Z
80783185.0,16093810,300,2026-02-27T03:13:49Z
80783185.0,16538227,17000,2026-02-27T03:13:49Z
80783185.0,16544002,1500,2026-02-27T03:13:49Z
80783175.0,16093810,300,2026-02-27T03:13:49Z
80783175.0,16538227,17000,2026-02-27T03:13:49Z
80783175.0,16544002,1500,2026-02-27T03:13:49Z
80783160.0,16093810,0,2026-02-27T03:13:49Z
80783160.0,16544003,1600,2026-02-27T03:13:49Z
80783160.0,16538227,1500,2026-02-27T03:13:49Z
80783132.0,16544003,1600,2026-02-27T03:13:49Z
